Name	Miles_per_Gallon	Cylinders	Displacement	Horsepower	Weight_in_lbs	Acceleration	Year	Origin
chevrolet chevelle malibu	18	8	307	130	3504	12	1970-01-01	USA
buick skylark 320	15	8	350	165	3693	11.5	1970-01-01	USA
plymouth satellite	18	8	318	150	3436	11	1970-01-01	USA
amc rebel sst	16	8	304	150	3433	12	1970-01-01	USA
ford torino	17	8	302	140	3449	10.5	1970-01-01	USA
ford galaxie 500	15	8	429	198	4341	10	1970-01-01	USA
chevrolet impala	14	8	454	220	4354	9	1970-01-01	USA
plymouth fury iii	14	8	440	215	4312	8.5	1970-01-01	USA
pontiac catalina	14	8	455	225	4425	10	1970-01-01	USA
amc ambassador dpl	15	8	390	190	3850	8.5	1970-01-01	USA
citroen ds-21 pallas		4	133	115	3090	17.5	1970-01-01	Europe
chevrolet chevelle concours (sw)		8	350	165	4142	11.5	1970-01-01	USA
